date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:55	37751/37751	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Oct%202024%2003:05:27%20GMT	https://cdn.shopify.com/s/files/1/0674/9641/1314/files/ott_free_7d37aafa-4884-49da-8568-676c605c130c_480x480.png?v=1728270077	E:/e/html%20jio/cdn.shopify.com/s/files/1/0674/9641/1314/files/ott_free_7d37aafa-4884-49da-8568-676c605c130c_480x4806c6b.png	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:56	100588/100588	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:9b58fcd5729d07dc1a3ca9cfae02de32%22	https://ec1b5e-86.myshopify.com/pages/recharge	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/recharge.html	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:56	89402/89402	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Oct%202024%2003:28:02%20GMT	https://cdn.shopify.com/s/files/1/0900/5770/3738/files/gpayfooter.png?v=1728268793	E:/e/html%20jio/cdn.shopify.com/s/files/1/0900/5770/3738/files/gpayfooter9824.png	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:56%20GMT	http://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/predictive-search.js?v=57209189334897115771726804367	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/predictive-search1ac8.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:59	6316/6316	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2020%20Sep%202024%2004:06:38%20GMT	https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/predictive-search.js?v=57209189334897115771726804367	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/predictive-search1ac8.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:59	179349/179349	---M--	200	added ('OK')	image/gif	date:Sat,%2028%20Sep%202024%2007:52:41%20GMT	https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/sparkle.gif	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/sparkle.gif	(from https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/base.css?v=17835562726764950411726805318)
13:36:59	41725/41725	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:c2c34e62cc57b99c9be4aed5cb161fa0%22	https://ec1b5e-86.myshopify.com/pages/a	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/a	(from https://connect.facebook.net/en_US/fbevents.js)
13:37:00	9/9	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%22cacheable:bfce66f0fad43a7bb5bdc0e1ceca4eeb%22	https://ec1b5e-86.myshopify.com/pages/b.resolvedLink	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
13:37:00	0/0	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:f8159fb3dc8ec519d02354895be5e317%22	https://ec1b5e-86.myshopify.com/signals/iwl.js	E:/e/html%20jio/ec1b5e-86.myshopify.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
13:37:00	9/9	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%22cacheable:431f7e34d8ed8ccf984c0018c50ebdd8%22	https://ec1b5e-86.myshopify.com/pages/schema.org/	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:37:00	37751/37751	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Oct%202024%2002:46:59%20GMT	https://cdn.shopify.com/s/files/1/0674/9641/1314/files/ott_free_480x480.png?v=1728269083	E:/e/html%20jio/cdn.shopify.com/s/files/1/0674/9641/1314/files/ott_free_480x48087f0.png	(from https://ec1b5e-86.myshopify.com/pages/recharge)
13:37:01	4026/4026	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Oct%202024%2005:21:18%20GMT	https://cdn.shopify.com/s/files/1/0710/8526/1038/files/jio-logo.png?v=1726311969	E:/e/html%20jio/cdn.shopify.com/s/files/1/0710/8526/1038/files/jio-logo8585.png	(from https://ec1b5e-86.myshopify.com/pages/recharge)
13:37:01	24771/24771	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Oct%202024%2012:15:37%20GMT	https://cdn.shopify.com/s/files/1/0710/8526/1038/files/airtel-logo.png?v=1726311969	E:/e/html%20jio/cdn.shopify.com/s/files/1/0710/8526/1038/files/airtel-logo8585.png	(from https://ec1b5e-86.myshopify.com/pages/recharge)
13:37:01	12426/12426	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Oct%202024%2015:32:28%20GMT	https://cdn.shopify.com/s/files/1/0710/8526/1038/files/vi-logo.jpg?v=1726311970	E:/e/html%20jio/cdn.shopify.com/s/files/1/0710/8526/1038/files/vi-logo5d4a.jpg	(from https://ec1b5e-86.myshopify.com/pages/recharge)
13:37:02	6910/6910	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Oct%202024%2008:07:01%20GMT	https://cdn.shopify.com/s/files/1/0710/8526/1038/files/bsnl-logo.png?v=1726311969	E:/e/html%20jio/cdn.shopify.com/s/files/1/0710/8526/1038/files/bsnl-logo8585.png	(from https://ec1b5e-86.myshopify.com/pages/recharge)
13:37:02	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22999-663bc6f1-b7471c5fe5258b6;;;%22	https://darkorchid-porpoise-539125.hostingersite.com/media/default-logo.png	E:/e/html%20jio/darkorchid-porpoise-539125.hostingersite.com/media/default-logo.38.delayed	(from https://ec1b5e-86.myshopify.com/pages/recharge)
13:37:02	9/9	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%22cacheable:c7c63e842a67f8aa2344facaefa00a85%22	https://ec1b5e-86.myshopify.com/pages/process_payment.php	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/process_payment.php	(from https://ec1b5e-86.myshopify.com/pages/recharge)
13:37:03	9/9	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%22cacheable:99800f0b449855e0de115b931583cd15%22	https://ec1b5e-86.myshopify.com/pages/payment_success.php	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/payment_success.php	(from https://ec1b5e-86.myshopify.com/pages/recharge)
13:37:03	70983/70983	---M-Z	200	added ('OK')	application/javascript	etag:%2263329266-6c88%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.2/gsap.min.js	E:/e/html%20jio/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.2/gsap.min.js	(from https://ec1b5e-86.myshopify.com/pages/recharge)
